,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,simc pune,7,https://collegedunia.com/college/7502-symbiosis-institute-of-media-and-communication-simc-pune,,,4,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023,20,https://www.careers360.com/colleges/symbiosis-institute-of-media-and-communication-pune/admission,15,https://www.collegedekho.com/colleges/simc,,,28,https://admission.aglasem.com/simc-pune/,,,,,,,,,,,10643,College,1900,,,College-LS
1,simc pune,7,https://collegedunia.com/college/7502-symbiosis-institute-of-media-and-communication-simc-pune,,,5,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023,20,https://www.careers360.com/colleges/symbiosis-institute-of-media-and-communication-pune/admission,15,https://www.collegedekho.com/colleges/simc,,,28,https://admission.aglasem.com/simc-pune/,,,,,,,,,,,10643,College,1900,,,College-LS
2,simc pune,7,https://collegedunia.com/college/7502-symbiosis-institute-of-media-and-communication-simc-pune,,,6,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023/courses,20,https://www.careers360.com/colleges/symbiosis-institute-of-media-and-communication-pune/admission,15,https://www.collegedekho.com/colleges/simc,,,28,https://admission.aglasem.com/simc-pune/,,,,,,,,,,,10643,College,1900,,,College-LS
3,Anand Institute of Higher Technology,6,https://collegedunia.com/college/12815-anand-institute-of-higher-technology-aiht-chennai/courses-fees,,,5,https://www.shiksha.com/college/anand-institute-of-higher-technology-old-mahabalipuram-road-chennai-38141,9,https://www.careers360.com/colleges/anand-institute-of-higher-technology-chennai,16,https://www.collegedekho.com/colleges/anand-institute-of-higher-technology,,,30,https://colleges.aglasem.com/anand-institute-of-higher-technology-aiht-chennai/home,,,,,,,,,,,10644,College,1900,,,College-LS
4,Rani Lakshmi Bai Central Agricultural University,4,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi,,,23,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/infrastructure,17,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,20,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,,,54,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/admission-process,,,,,,,,,,,10645,College,1900,,,College-LS
5,Rani Lakshmi Bai Central Agricultural University,5,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi,,,23,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/infrastructure,17,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,20,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,,,54,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/admission-process,,,,,,,,,,,10645,College,1900,,,College-LS
6,Rani Lakshmi Bai Central Agricultural University,6,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi/courses-fees,,,23,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/infrastructure,17,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,20,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,,,54,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/admission-process,,,,,,,,,,,10645,College,1900,,,College-LS
7,iior,17,https://collegedunia.com/college/6612-indian-institute-of-oilseeds-research-hyderabad,,,,,,,,,,,,,,,67,https://www.fresherslive.com/iior-indian-institute-of-oilseeds-research-recruitment,,,,,,,10646,College,1900,,,College-LS
8,mangalore university distance education,5,https://collegedunia.com/college/57800-mangalore-university-center-for-distance-education-mangalore/admission,,,25,https://www.shiksha.com/university/mangalore-university-1230,18,https://www.careers360.com/colleges/center-for-distance-education-mangalore-university-mangalore/ma-hindi-course,83,https://www.collegedekho.com/news/mah-bed-cet-2021-result-expected-by-november-1-22672/,,,32,https://admission.aglasem.com/mangalore-university-distance-education/,,,73,https://www.fresherslive.com/education/mangalore-university-time-table-102784,,,,,,,10647,College,1900,,,College-LS
9,National Institute of Siddha,12,https://collegedunia.com/college/6423-national-institute-of-siddha-nis-chennai/courses-fees,,,49,https://www.shiksha.com/compare-national-institute-of-siddha-nis-tamil-nadu-vs-lhmc-delhi-id-357405-350815?fromWhere=uilp,13,https://www.careers360.com/colleges/national-institute-of-siddha-chennai,17,https://www.collegedekho.com/colleges/pictures-national-institute-of-siddha,,,,,,,,,,,,,,,10648,College,1900,,,College-LS
